Symbol,Description,Price,Price - Currency,"Dividend yield %, Trailing 12 months","Dividends per share, Annual","Dividends per share, Annual - Currency",Sector
HMR,Heidmar Maritime Holdings Corp.,0.9336,USD,0,,,Industrial services
CLPR,Clipper Realty Inc.,3.38,USD,11.3095238095238,0.38,USD,Finance
CIBH,"CIB Marine Bancshares, Inc.",40,USD,0,0,USD,Finance
WSTL,"Westell Technologies, Inc.",5.47,USD,0,0,USD,Electronic technology
OFS,OFS Capital Corporation,4.04,USD,29.75,1.36,USD,Miscellaneous
JAGU,Jaguar Uranium Corp.,2.84,USD,0,,,Non-energy minerals
EURK,Eureka Acquisition Corp,11.2,USD,0,0,USD,Finance
AVX,Avax One Technology Ltd.,0.589,USD,0,0,USD,Commercial services
LINK,"Interlink Electronics, Inc.",3.42,USD,0,0,USD,Electronic technology
SNTL,Sentinel Holdings Ltd.,5.65,USD,,0,USD,Retail trade
SODI,"Solitron Devices, Inc.",25,USD,0,0,USD,Electronic technology
CIZN,Citizens Holding Co.,9.54,USD,0.419287211740042,0.04,USD,Finance
EQFN,Equitable Financial Corp.,16.15,USD,0,0,USD,Finance
CRT,Cross Timbers Royalty Trust,9.0627,USD,8.38156774916014,0.946303,USD,Miscellaneous
UEIC,Universal Electronics Inc.,4.005,USD,0,0,USD,Consumer durables
KBSX,FST Corp.,1.193,USD,0,0,USD,Finance
NIDB,"Northeast Indiana Bancorp, Inc.",22.25,USD,3.28089887640449,0.73,USD,Finance
HCIL,Hongchang International Co Ltd.,0.1027,USD,0,0,USD,Technology services
MNMB,Merchants & Marine Bancorp Inc.,40,USD,3.625,,,Finance
BYSI,"BeyondSpring, Inc.",1.29,USD,0,0,USD,Health technology
DOMH,Dominari Holdings Inc.,3.27,USD,0,0,USD,Finance
LPCN,Lipocine Inc.,9.545,USD,0,0,USD,Health technology
NTRB,Nutriband Inc.,4.3523,USD,0,0,USD,Health technology
RYES,Rise Gold Corp.,0.4306,USD,0,0,USD,Miscellaneous
MPU,Mega Matrix Inc.,0.78,USD,0,,,Technology services
INKT,"MiNK Therapeutics, Inc.",11.23,USD,0,0,USD,Health technology
CLNN,Clene Inc.,4.474,USD,0,0,USD,Health technology
PVBK,Pacific Valley Bancorp,10.63,USD,0,0,USD,Finance
BODI,"The Beachbody Company, Inc.",7.42,USD,0,0,USD,Consumer services
GVYB,"Golden Valley Bancshares, Inc.",23,USD,1.70757737459979,,,Finance
UMEW,UMeWorld Inc.,0.47,USD,0,0,USD,Health technology
MATH,Metalpha Technology Holding Limited,1.21,USD,0,0,USD,Transportation
HFBK,Harford Bank,42.408,USD,2.25219941348974,0.92,USD,Finance
CBRF,Cyberfuels Holding Company Inc.,0.503,USD,0,0,USD,Health services
BLGO,"BioLargo, Inc.",0.1666,USD,0,0,USD,Process industries
APT,"Alpha Pro Tech, Ltd.",5.04,USD,0,0,USD,Process industries
STSS,Sharps Technology Inc.,1.8,USD,0,0,USD,Health technology
OCC,Optical Cable Corporation,5.88,USD,0,0,USD,Electronic technology
ECOR,"electroCore, Inc.",6.51,USD,0,0,USD,Health technology
LSFG,"Lifestore Financial Group, Inc.",49.3297,USD,1.3176646117856,0.6,USD,Finance
CSTE,Caesarstone Ltd.,1.5,USD,0,0,USD,Non-energy minerals
NRXS,"Neuraxis, Inc.",4.85,USD,0,0,USD,Health technology
MIRA,"MIRA Pharmaceuticals, Inc.",1.233,USD,0,0,USD,Health technology
JFU,9F Inc.,4.35,USD,0,0,USD,Technology services
TBBC,Triad Business Bank,6.35,USD,0,0,USD,Finance
LIVE,Live Ventures Incorporated,16.65,USD,0,0,USD,Consumer durables
VOC,VOC Energy Trust,3,USD,14.5214521452145,0.73,USD,Miscellaneous
MOB,Mobilicom Limited,5.125,USD,0,,,Electronic technology
LUNA,"Luna Innovations, Inc.",1.5,USD,0,,,Electronic technology
FMY,First Trust Mortgage Income Fund,12.11,USD,7.13692946058091,0.86,USD,Miscellaneous
DMYY,"dMY Squared Technology Group, Inc.",11.7,USD,0,0,USD,Finance
LOAN,"Manhattan Bridge Capital, Inc",4.45,USD,10.4072398190045,0.46,USD,Finance
SKLZ,Skillz Inc.,3.3454,USD,0,0,USD,Technology services
BURU,"Nuburu, Inc.",0.0955,USD,0,0,USD,Electronic technology
DENI,Denali Bancorp Inc,17.25,USD,,,,Finance
KZR,"Kezar Life Sciences, Inc.",6.85,USD,0,0,USD,Health technology
CBLO,C2 Blockchain Inc,0.11,USD,0,0,USD,Miscellaneous
ESLA,"Estrella Immunopharma, Inc.",1.19,USD,0,0,USD,Health technology
PEBC,Peoples Bancorp Inc.,64,USD,1.33164235890932,0.82,USD,Finance
MRNO,Murano Global Investments PLC,0.62915,USD,0,0,USD,Consumer services
WBX,Wallbox N.V.,3.45,USD,0,0,USD,Electronic technology
ELUT,"Elutia, Inc.",1.1611,USD,0,0,USD,Health technology
ALCY,Alchemy Investments Acquisition Corp 1,11.7752,USD,0,0,USD,Finance
SJ,Scienjoy Holding Corporation,1.17,USD,0,0,USD,Technology services
AFCG,Advanced Flower Capital Inc.,2.1887,USD,39.0909090909091,1.62,USD,Finance
MDIA,Mediaco Holding Inc.,0.602,USD,0,0,USD,Consumer services
LICN,Lichen International Limited,3.0068,USD,0,0,USD,Commercial services
EHTH,"eHealth, Inc.",1.595,USD,0,0,USD,Finance
MLMC,Mike Lindell Media Corp.,1.25,USD,0,0,USD,Consumer services
NXTN,"Next10, Inc.",2.95,USD,0,0,USD,Transportation
BIOF,Blue Biofuels Inc.,0.155,USD,0,0,USD,Health technology
AZRH,Azure Holding Group Corp,0.4,USD,0,0,USD,Retail trade
QSEP,"QS Energy, Inc.",0.09,USD,0,0,USD,Industrial services
FBVI,FCN Banc Corp,32.5,USD,4.27692307692308,1.36,USD,Finance
TCBS,"Texas Community Bancshares, Inc.",16.75,USD,1.01492537313433,0.16,USD,Finance
INVU,Investview Inc.,0.02635,USD,0,0,USD,Technology services
ACRV,"Acrivon Therapeutics, Inc.",1.5432,USD,0,0,USD,Health technology
BBXIA,"BBX Capital, Inc.",3.55,USD,0,0,USD,Finance
PSIG,PS International Group Ltd.,5.64,USD,0,0,USD,Transportation
PRTS,"CarParts.com, Inc.",0.6949,USD,0,0,USD,Retail trade
SORA,AsiaStrategy,1.93,USD,0,,,Distribution services
LITB,"LightInTheBox Holding Co., Ltd.",2.6,USD,0,0,USD,Retail trade
RCT,RedCloud Holdings plc,1.0801,USD,0,,,Technology services
SACH,Sachem Capital Corp.,1.015,USD,20,0.35,USD,Finance
CDLX,"Cardlytics, Inc. Common Stock",0.8806,USD,0,0,USD,Technology services
SBNY,"Signature Bank (New York, NY)",0.75,USD,0,,,Finance
CNTM,"ConnectM Technology Solutions, Inc.",0.2801,USD,0,0,USD,Industrial services
CNTY,"Century Casinos, Inc.",1.6,USD,0,0,USD,Consumer services
ESHA,ESH Acquisition Corp.,12.04,USD,0,0,USD,Finance
EJH,E-Home Household Service Holdings Limited,0.5887,USD,0,0,USD,Consumer services
INFT,Infinity Bancorp,14.25,USD,2.32081911262799,0.34,USD,Finance
FSBH,FSBH CORP.,15.97,USD,,,,Finance
PSTV,"PLUS THERAPEUTICS, Inc.",0.2623,USD,0,0,USD,Health technology
LUMB,Lumbee Guaranty Bank,14,USD,2.47787610619469,0.35,USD,Finance
NXTC,"NextCure, Inc.",13.22,USD,0,0,USD,Health technology
PLUT,Plutus Financial Group Limited,3.2506,USD,,,,Finance
MGLD,"The Marygold Companies, Inc.",1.08,USD,0,0,USD,Miscellaneous
JG,Aurora Mobile Limited,7.47,USD,0,0,USD,Technology services
VTSI,"VirTra, Inc.",4.09,USD,0,0,USD,Technology services
ELWT,"Elauwit Connection, Inc.",6.95,USD,0,,,Technology services
OESX,"Orion Energy Systems, Inc.",11.35,USD,0,0,USD,Electronic technology
FKWL,Franklin Wireless Corp.,3.9,USD,0,0,USD,Electronic technology
VVPR,VivoPower International PLC,2.737,USD,0,0,USD,Utilities
HGBL,Heritage Global Inc.,1.32,USD,0,0,USD,Finance
CING,Cingulate Inc.,5.92,USD,0,0,USD,Health technology
